sale_year,median_price,transaction_count,type_encoded,small_area_encoded,rolling_avg_price,transaction_density
2004,745000.0,53,0,2,586166.6666666666,0.012670332297394215
2004,295500.0,118,1,3,271000.0,0.019742345658357037
2004,370000.0,110,0,6,467833.3333333333,0.01568291987453664
2005,300000.0,170,1,0,338833.3333333333,0.024099801531046215
2005,480000.0,250,1,1,327333.6666666667,0.022313459478757586
2005,337500.0,172,1,2,497500.0,0.04111881424814726
2005,361000.0,71,1,5,449083.3333333333,0.04401735895846249
2005,266000.0,164,1,6,269500.0,0.023381807812945538
2005,295000.0,71,1,7,651250.0,0.02550287356321839
2006,535450.0,427,1,1,338483.6666666667,0.03811138878971796
2006,354000.0,178,1,2,478833.3333333333,0.0425531914893617
2006,421000.0,143,0,3,333833.3333333333,0.023925046009703865
2006,767500.0,2,0,4,355666.6666666667,6.25175830702385e-05
2006,332000.0,1199,1,4,366500.0,0.03747929105060798
2006,295000.0,158,1,6,310333.3333333333,0.022526375819788995
2006,364000.0,134,1,8,388250.0,0.04505716207128446
2006,380000.0,81,1,10,355833.3333333333,0.022797635800731776
2007,632500.0,108,0,0,409666.6666666667,0.015310462149135243
2007,395000.0,291,1,0,442500.0,0.0412531896796144
2007,1532000.0,32,0,1,849150.0,0.002856122813280971
2007,500000.0,153,1,5,405333.3333333333,0.09485430874147552
2007,335000.0,285,1,6,298666.6666666667,0.04063301967493584
2007,646000.0,48,0,10,473666.6666666667,0.01350971010413735
2007,435000.0,171,1,10,487000.0,0.0481283422459893
2008,3260600.0,20,0,1,1776016.6666666667,0.001785076758300607
2008,502000.0,654,1,1,1764866.6666666667,0.058372009996429844
2008,1868397.5,30,0,2,853299.1666666666,0.007171886206072197
2008,493000.0,213,0,3,403166.6666666667,0.035636606993474984
2008,767500.0,5,0,4,622333.3333333334,0.00015629395767559627
2008,537500.0,134,0,6,389166.6666666667,0.019104647847162818
2008,590000.0,68,0,7,454583.3333333333,0.02442528735632184
2009,767500.0,3,0,1,1510033.3333333333,0.00026776151374509105
2009,541000.0,779,1,1,603500.0,0.06952873973580864
2009,395000.0,1863,1,4,498166.6666666667,0.05823512862992717
2009,400000.0,79,1,7,428333.3333333333,0.028376436781609195
2009,518800.0,1121,1,9,483933.3333333333,0.06350195434203817
2009,460000.0,108,1,10,513666.6666666667,0.030396847734309035
2010,430000.0,274,1,0,485833.3333333333,0.038843209526509784
2010,1575000.0,39,0,2,1265799.1666666667,0.009323452067893857
2010,588000.0,68,1,5,483000.0,0.04215747055176689
2010,1012500.0,32,0,7,667500.0,0.011494252873563218
2010,1890750.0,34,0,8,833500.0,0.011432414256893073
2010,480000.0,115,1,8,911583.3333333334,0.0386684599865501
2010,694000.0,50,0,10,529666.6666666666,0.014072614691809739
2010,502500.0,164,1,10,552166.6666666666,0.04615817618913594
2011,767500.0,3,0,4,643333.3333333334,9.377637460535775e-05
2011,438000.0,208,1,6,436833.3333333333,0.029654975762760195
2011,932500.0,32,0,8,1101083.3333333333,0.010759919300605245
2011,767500.0,1,0,9,559766.6666666666,5.6647595309579106e-05
2011,1032500.0,27,0,10,743000.0,0.007599211933577259
2012,524000.0,148,1,2,1322465.8333333333,0.035381305283289505
2012,431500.0,226,1,6,469000.0,0.03222127174222983
2012,607500.0,42,0,10,714166.6666666666,0.011820996341120181
2012,419000.0,319,1,10,686333.3333333334,0.08978328173374613
2013,460500.0,534,1,0,428500.0,0.0757017295151687
2013,767500.0,4,0,1,692000.0,0.0003570153516601214
2013,1012000.0,33,0,7,808166.6666666666,0.011853448275862068
2013,0.0,353,1,7,674833.3333333334,0.12679597701149425
2013,767500.0,3,0,9,684600.0,0.0001699427859287373
2014,876000.0,68,0,0,588833.3333333334,0.009639920612418485
2014,0.0,86,0,7,337333.3333333333,0.03089080459770115
2014,0.0,162,1,7,0.0,0.05818965517241379
2014,530000.0,995,1,9,688333.3333333334,0.05636435733303121
2015,767500.0,1,0,4,643333.3333333334,3.125879153511925e-05
2015,479000.0,1559,1,4,671333.3333333334,0.048732456003250914
2015,767500.0,3,0,9,688333.3333333334,0.0001699427859287373
2016,1940000.0,35,0,2,1346333.3333333333,0.008367200573750896
2016,650000.0,129,1,2,1038000.0,0.030839110686110446
2016,767500.0,2,0,4,671333.3333333334,6.25175830702385e-05
2016,435000.0,1264,1,4,560500.0,0.03951111250039074
2016,515000.0,231,1,6,461500.0,0.03293413173652695
2016,1761250.0,32,0,7,587083.3333333334,0.011494252873563218
2016,500000.0,63,1,7,753750.0,0.022629310344827586
2016,2135000.0,34,0,8,1182500.0,0.011432414256893073
2016,565000.0,701,1,9,620833.3333333334,0.039709964312014956
